Units,scenario,region,year,value
Million1990US$,Ref_cities,KualaLumpur,1975,865
Million1990US$,Ref_cities,KualaLumpur,1990,5052.83
Million1990US$,Ref_cities,KualaLumpur,2005,24152.9
Million1990US$,Ref_cities,KualaLumpur,2010,36436.3
Million1990US$,Ref_cities,KualaLumpur,2015,43833.9
Million1990US$,Ref_cities,KualaLumpur,2020,51399.1
Million1990US$,Ref_cities,KualaLumpur,2025,62659.1
Million1990US$,Ref_cities,KualaLumpur,2030,76659.4
Million1990US$,Ref_cities,KualaLumpur,2035,93371.8
Million1990US$,Ref_cities,KualaLumpur,2040,112094
Million1990US$,Ref_cities,KualaLumpur,2045,131985
Million1990US$,Ref_cities,KualaLumpur,2050,152369
Million1990US$,Ref_cities,KualaLumpur,2055,172750
Million1990US$,Ref_cities,KualaLumpur,2060,192575
Million1990US$,Ref_cities,KualaLumpur,2065,211996
Million1990US$,Ref_cities,KualaLumpur,2070,230697
Million1990US$,Ref_cities,KualaLumpur,2075,249376
Million1990US$,Ref_cities,KualaLumpur,2080,269004
Million1990US$,Ref_cities,KualaLumpur,2085,290678
Million1990US$,Ref_cities,KualaLumpur,2090,314651
Million1990US$,Ref_cities,KualaLumpur,2095,341006
Million1990US$,Ref_cities,KualaLumpur,2100,369516
Million1990US$,Ref_cities,Malaysia,1975,19457
Million1990US$,Ref_cities,Malaysia,1990,53961.3
Million1990US$,Ref_cities,Malaysia,2005,135137
Million1990US$,Ref_cities,Malaysia,2010,168218
Million1990US$,Ref_cities,Malaysia,2015,217758
Million1990US$,Ref_cities,Malaysia,2020,276057
Million1990US$,Ref_cities,Malaysia,2025,346889
Million1990US$,Ref_cities,Malaysia,2030,422092
Million1990US$,Ref_cities,Malaysia,2035,505076
Million1990US$,Ref_cities,Malaysia,2040,595297
Million1990US$,Ref_cities,Malaysia,2045,689192
Million1990US$,Ref_cities,Malaysia,2050,786656
Million1990US$,Ref_cities,Malaysia,2055,890727
Million1990US$,Ref_cities,Malaysia,2060,999847
Million1990US$,Ref_cities,Malaysia,2065,1110730
Million1990US$,Ref_cities,Malaysia,2070,1222520
Million1990US$,Ref_cities,Malaysia,2075,1335910
Million1990US$,Ref_cities,Malaysia,2080,1448440
Million1990US$,Ref_cities,Malaysia,2085,1558810
Million1990US$,Ref_cities,Malaysia,2090,1666400
Million1990US$,Ref_cities,Malaysia,2095,1770370
Million1990US$,Ref_cities,Malaysia,2100,1870340
