"Units","scenario","region","year","value"
"Million1990US$","Ref_cities","KualaLumpur",1975,2584
"Million1990US$","Ref_cities","KualaLumpur",1990,7860.29
"Million1990US$","Ref_cities","KualaLumpur",2005,21559.5
"Million1990US$","Ref_cities","KualaLumpur",2010,27252
"Million1990US$","Ref_cities","KualaLumpur",2015,35777.3
"Million1990US$","Ref_cities","KualaLumpur",2020,37353.5
"Million1990US$","Ref_cities","KualaLumpur",2025,55119.5
"Million1990US$","Ref_cities","KualaLumpur",2030,68273.3
"Million1990US$","Ref_cities","KualaLumpur",2035,83081
"Million1990US$","Ref_cities","KualaLumpur",2040,99416.3
"Million1990US$","Ref_cities","KualaLumpur",2045,117177
"Million1990US$","Ref_cities","KualaLumpur",2050,135650
"Million1990US$","Ref_cities","KualaLumpur",2055,154874
"Million1990US$","Ref_cities","KualaLumpur",2060,175340
"Million1990US$","Ref_cities","KualaLumpur",2065,196835
"Million1990US$","Ref_cities","KualaLumpur",2070,218595
"Million1990US$","Ref_cities","KualaLumpur",2075,240638
"Million1990US$","Ref_cities","KualaLumpur",2080,262979
"Million1990US$","Ref_cities","KualaLumpur",2085,285146
"Million1990US$","Ref_cities","KualaLumpur",2090,306804
"Million1990US$","Ref_cities","KualaLumpur",2095,328003
"Million1990US$","Ref_cities","KualaLumpur",2100,348533
"Million1990US$","Ref_cities","Malaysia",1975,26338
"Million1990US$","Ref_cities","Malaysia",1990,73044.8
"Million1990US$","Ref_cities","Malaysia",2005,182928
"Million1990US$","Ref_cities","Malaysia",2010,227709
"Million1990US$","Ref_cities","Malaysia",2015,294769
"Million1990US$","Ref_cities","Malaysia",2020,434920
"Million1990US$","Ref_cities","Malaysia",2025,538797
"Million1990US$","Ref_cities","Malaysia",2030,655611
"Million1990US$","Ref_cities","Malaysia",2035,784501
"Million1990US$","Ref_cities","Malaysia",2040,924607
"Million1990US$","Ref_cities","Malaysia",2045,1070490
"Million1990US$","Ref_cities","Malaysia",2050,1221820
"Million1990US$","Ref_cities","Malaysia",2055,1383450
"Million1990US$","Ref_cities","Malaysia",2060,1552900
"Million1990US$","Ref_cities","Malaysia",2065,1725060
"Million1990US$","Ref_cities","Malaysia",2070,1898710
"Million1990US$","Ref_cities","Malaysia",2075,2074760
"Million1990US$","Ref_cities","Malaysia",2080,2249590
"Million1990US$","Ref_cities","Malaysia",2085,2420950
"Million1990US$","Ref_cities","Malaysia",2090,2588050
"Million1990US$","Ref_cities","Malaysia",2095,2749520
"Million1990US$","Ref_cities","Malaysia",2100,2904610
