region,year,scenario,value
Thailand,2020,pop_un,69800000
Thailand,2020,growth_proj,1
Thailand,2020,pop_nso,66186727
Thailand,2020,growth_hist,NA
Thailand,2030,pop_un,70346000
Thailand,2030,growth_proj,1.0078223495702006
Thailand,2030,pop_nso,66704462.715501435
Thailand,2030,growth_hist,NA
Thailand,2050,pop_un,65940000
Thailand,2050,growth_proj,0.9446991404011461
Thailand,2050,pop_nso,62526544.10286533
Thailand,2050,growth_hist,NA
Thailand,2075,pop_un,55190000
Thailand,2075,growth_proj,0.7906876790830946
Thailand,2075,pop_nso,52333029.55773639
Thailand,2075,growth_hist,NA
Thailand,2100,pop_un,46016000
Thailand,2100,growth_proj,0.6592550143266476
Thailand,2100,pop_nso,43633931.65661891
Thailand,2100,growth_hist,NA
Thailand,1950,pop_un,20710000
Thailand,1950,growth_proj,NA
Thailand,1950,pop_nso,19748711.115856834
Thailand,1950,growth_hist,0.3082074559118982
Thailand,1970,pop_un,36885000
Thailand,1970,growth_proj,NA
Thailand,1970,pop_nso,35172921.75318104
Thailand,1970,growth_hist,0.5489247711883325
Thailand,1990,pop_un,56558000
Thailand,1990,growth_proj,NA
Thailand,1990,pop_nso,53932766.93822457
Thailand,1990,growth_hist,0.8416995312151202
Thailand,2000,pop_un,62953000
Thailand,2000,growth_proj,NA
Thailand,2000,pop_nso,60030932.44213111
Thailand,2000,growth_hist,0.9368703028499145
Thailand,2005,pop_un,65416000
Thailand,2005,growth_proj,NA
Thailand,2005,pop_nso,62379608.225731075
Thailand,2005,growth_hist,0.9735248158345114
Thailand,2010,pop_un,67195000
Thailand,2010,growth_proj,NA
Thailand,2010,pop_nso,64076033
Thailand,2010,growth_hist,1
Thailand,2011,pop_un,NA
Thailand,2011,growth_proj,NA
Thailand,2011,pop_nso,64076033
Thailand,2011,growth_hist,NA
Thailand,2012,pop_un,NA
Thailand,2012,growth_proj,NA
Thailand,2012,pop_nso,64456695
Thailand,2012,growth_hist,NA
Thailand,2013,pop_un,NA
Thailand,2013,growth_proj,NA
Thailand,2013,pop_nso,64785909
Thailand,2013,growth_hist,NA
Thailand,2014,pop_un,NA
Thailand,2014,growth_proj,NA
Thailand,2014,pop_nso,65124716
Thailand,2014,growth_hist,NA
Thailand,2015,pop_un,68715000
Thailand,2015,growth_proj,NA
Thailand,2015,pop_nso,65729098
Thailand,2015,growth_hist,NA
Thailand,2016,pop_un,NA
Thailand,2016,growth_proj,NA
Thailand,2016,pop_nso,65931550
Thailand,2016,growth_hist,NA
Thailand,2017,pop_un,NA
Thailand,2017,growth_proj,NA
Thailand,2017,pop_nso,66188503
Thailand,2017,growth_hist,NA
Thailand,2018,pop_un,NA
Thailand,2018,growth_proj,NA
Thailand,2018,pop_nso,66413979
Thailand,2018,growth_hist,NA
Thailand,2019,pop_un,NA
Thailand,2019,growth_proj,NA
Thailand,2019,pop_nso,66558935
Thailand,2019,growth_hist,NA
